owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Andy Campbell,1998,2,0,0,0,1,0.0,2,0.0,27.5,22.5,0.0,0
Auggie Vidovich,1998,1,0,0,0,0,0.0,1,0.0,32.0,25.0,0.0,0
B.A. Wilson,1998,8,0,0,0,4,0.0,8,0.0,21.38,23.5,0.0,0
Bill Westbrook,1998,1,0,0,0,0,0.0,1,0.0,25.0,36.0,0.0,0
Billy Ballew,1998,5,0,1,2,2,0.0,5,0.0,12.6,18.8,0.0,0
Billy Hess,1998,5,0,0,1,1,0.0,5,0.0,15.0,27.4,0.0,0
Bob Brevak,1998,27,0,0,4,10,0.0,27,0.0,20.19,22.19,0.0,0
Bobby Hamilton Racing,1998,3,0,0,0,0,0.0,3,0.0,24.0,33.67,0.0,0
Buddy Morrison,1998,6,0,0,0,1,0.0,6,0.0,27.5,25.5,0.17,1
Charles Hardy,1998,27,0,2,10,20,0.0,27,0.0,16.67,14.96,1.7,46
Clarence Brewer,1998,27,0,0,3,14,0.0,27,0.0,25.81,19.11,0.0,0
"Dale Earnhardt, Inc.",1998,27,6,16,22,23,0.22222,27,0.22222,8.11,7.19,32.93,889
Dale Phelon,1998,27,0,3,9,17,0.0,27,0.0,16.96,18.0,2.44,66
David Dollar,1998,2,0,0,0,0,0.0,2,0.0,10.5,27.0,0.0,0
David Hodson,1998,27,2,9,14,22,0.07407,27,0.07407,11.59,12.15,17.3,467
Dick Greenfield,1998,5,0,0,2,4,0.0,6,0.0,17.0,16.5,0.0,0
Dominic Dobson,1998,22,0,0,1,5,0.0,22,0.0,24.14,26.45,0.91,20
Don VanDenBos,1998,3,0,0,0,1,0.0,3,0.0,22.33,27.67,0.0,0
Duke Thorson,1998,27,1,3,6,13,0.03704,28,0.03571,16.82,20.21,1.5,42
Ed Scherer,1998,13,0,0,0,6,0.0,13,0.0,28.15,21.69,0.0,0
Fred Horn,1998,3,0,0,0,1,0.0,3,0.0,32.67,24.0,0.0,0
Jack Roush,1998,27,1,22,31,40,0.03704,55,0.01818,10.69,12.04,10.58,582
James Buford,1998,2,0,0,0,0,0.0,2,0.0,24.0,27.5,0.0,0
James Liguori,1998,2,0,0,0,0,0.0,2,0.0,33.0,26.5,0.0,0
Jay Stewart,1998,1,0,0,0,0,0.0,1,0.0,35.0,29.0,0.0,0
Jeff Spraker,1998,1,0,0,0,0,0.0,1,0.0,35.0,26.0,0.0,0
Jerry Glanville,1998,3,0,0,0,0,0.0,3,0.0,31.0,28.67,0.0,0
Jerry Gunderman,1998,2,0,0,0,1,0.0,2,0.0,16.5,18.5,0.0,0
Jerry Lawrence,1998,1,0,0,0,0,0.0,1,0.0,34.0,33.0,0.0,0
Jerry Wharton,1998,23,0,1,1,10,0.0,23,0.0,17.39,22.52,1.74,40
Jim Clark,1998,10,0,0,0,3,0.0,10,0.0,19.9,23.8,0.0,0
Jim Herrick,1998,27,0,0,5,16,0.0,31,0.0,24.81,20.61,0.29,9
Jim Mattei,1998,1,0,0,0,0,0.0,1,0.0,21.0,35.0,0.0,0
Jim Smith,1998,27,2,5,9,19,0.07407,29,0.06897,7.93,16.21,28.28,820
Joe Ambrose,1998,2,0,0,0,0,0.0,2,0.0,30.0,33.0,0.0,0
Joe Gaita,1998,3,0,0,0,0,0.0,3,0.0,23.0,31.33,0.0,0
Joe Horner,1998,4,0,0,0,1,0.0,4,0.0,11.75,24.75,0.0,0
Joe Nemechek,1998,1,0,0,1,1,0.0,1,0.0,26.0,6.0,0.0,0
Ken Schrader,1998,27,0,3,11,18,0.0,27,0.0,12.48,15.93,2.37,64
Kenneth Brown,1998,2,0,0,0,1,0.0,2,0.0,15.5,25.5,0.0,0
Kevin Doran,1998,1,0,0,0,0,0.0,1,0.0,21.0,25.0,0.0,0
Kurt Roehrig,1998,27,3,9,15,22,0.11111,27,0.11111,12.15,11.63,8.37,226
Marion Lawson,1998,1,0,0,0,0,0.0,1,0.0,33.0,33.0,0.0,0
Mark Simo,1998,27,1,4,7,15,0.03704,30,0.03333,16.67,18.4,3.83,115
Marshall Chesrown,1998,27,1,4,10,20,0.03704,27,0.03704,16.48,15.78,5.0,135
