driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Andrew Ranger,1,0,0.0,0,0.0,0,0.0,0,0.0,35.0,35,35,35.0,35,35,0.0,0,0,62625,62625,62625,62625
Andy Belmont,12,0,0.0,0,0.0,0,0.0,0,0.0,37.67,35,42,35.33,28,40,0.0,0,0,151535,12628,54890,2150
Andy Biddle,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,16.0,16,16,0.0,0,0,25,25,25,25
Andy Bruni,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,25.0,25,25,0.0,0,0,0,,,
Andy Buffington,1,0,0.0,0,0.0,1,1.0,1,1.0,10.0,10,10,8.0,8,8,0.0,0,0,175,175,175,175
Andy Hampton,4,0,0.0,0,0.0,2,0.5,2,0.5,32.0,23,51,17.5,9,26,0.0,0,0,5075,1692,2525,50
Andy Hillenburg,16,0,0.0,0,0.0,0,0.0,0,0.0,35.94,18,43,36.69,22,43,0.0,0,0,589145,36822,80205,3400
Andy Houston,22,0,0.0,0,0.0,0,0.0,3,0.13636,25.77,6,41,32.64,17,43,0.05,1,1,992351,45107,120384,22030
Andy Lally,45,0,0.0,0,0.0,0,0.0,2,0.04444,36.51,7,43,31.24,18,42,0.27,12,4,3417118,89924,282863,64775
Andy Pierce,5,0,0.0,0,0.0,0,0.0,1,0.2,11.0,1,21,27.8,18,33,0.0,0,0,100,25,25,25
Andy Pilgrim,1,0,0.0,0,0.0,0,0.0,0,0.0,43.0,43,43,26.0,26,26,0.0,0,0,78475,78475,78475,78475
Andy Seuss,1,0,0.0,0,0.0,0,0.0,0,0.0,35.0,35,35,28.0,28,28,0.0,0,0,0,,,
Andy Wilson,1,0,0.0,0,0.0,0,0.0,1,1.0,13.0,13,13,19.0,19,19,0.0,0,0,50,50,50,50
Andy Winfree,10,0,0.0,0,0.0,4,0.4,8,0.8,21.0,10,27,14.6,7,26,0.0,0,0,615,68,150,25
