owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Jim Mattei,1,0,0.0,0,0,0,1,0.0,21.0,35.0,0,0.0
Jim Mills,2,0,0.0,0,0,0,3,0.0,34.67,31.67,0,0.0
Jim Rosenblum,73,0,0.0,0,2,25,73,0.0,29.12,24.89,3,0.04
Jim Smith,267,36,0.13483,157,233,327,421,0.08551,10.14,11.61,7653,18.18
Jim Spicuzza,19,0,0.0,0,5,11,19,0.0,20.79,16.68,0,0.0
Jim Venable,44,0,0.0,4,13,35,44,0.0,18.18,15.07,56,1.27
Jimmy Davis,1,0,0.0,0,0,0,1,0.0,32.0,33.0,0,0.0
Jimmy Dick,16,0,0.0,0,0,5,16,0.0,27.69,22.81,0,0.0
Jimmy Spencer,1,0,0.0,0,0,1,1,0.0,3.0,15.0,14,14.0
Jody McCormick,1,0,0.0,0,0,0,1,0.0,28.0,32.0,0,0.0
Joe Ambrose,3,0,0.0,0,0,0,3,0.0,29.67,29.0,0,0.0
Joe Bessey,2,0,0.0,0,1,1,2,0.0,8.5,22.0,0,0.0
Joe Dennette,47,0,0.0,4,13,37,58,0.0,16.55,17.71,168,2.9
Joe Gaita,5,0,0.0,0,0,0,5,0.0,26.4,29.0,0,0.0
Joe Gibbs,60,0,0.0,6,21,43,65,0.0,19.11,16.51,103,1.58
Joe Horner,13,0,0.0,0,0,3,13,0.0,18.54,26.15,0,0.0
Joe Jenkins III,1,0,0.0,0,0,0,1,0.0,31.0,29.0,0,0.0
Joe Madore,2,0,0.0,0,0,1,2,0.0,28.5,22.0,0,0.0
Joe Nemechek,169,7,0.04142,35,74,122,214,0.03271,16.21,17.18,689,3.22
Joe Scott,50,1,0.02,9,20,35,50,0.02,15.56,15.0,86,1.72
Joey Arrington,16,0,0.0,0,1,12,18,0.0,22.28,18.22,3,0.17
Joey Cefalia,5,0,0.0,0,0,0,5,0.0,30.8,28.6,0,0.0
Joey Sonntag,82,0,0.0,0,3,26,84,0.0,25.81,25.56,29,0.35
John Bailey,2,0,0.0,0,0,0,2,0.0,24.0,23.0,0,0.0
